T13,Intentional homicides and other crimes,,,,,
76,Brazil,2013,"Total Sexual Violence at the national level, rate per 100,000",28.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2015,"Intentional homicide rates per 100,000",28.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2015,"Percentage of male and female intentional homicide victims, Male",53.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2015,"Percentage of male and female intentional homicide victims, Female",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2015,"Assault rate per 100,000 population",303.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2015,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2015,"Robbery at the national level, rate per 100,000 population",758.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2019,"Intentional homicide rates per 100,000",20.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2019,"Percentage of male and female intentional homicide victims, Male",38.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2019,"Percentage of male and female intentional homicide victims, Female",3.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2019,"Assault rate per 100,000 population",285.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2019,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2019,"Theft at the national level, rate per 100,000 population",788.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2019,"Robbery at the national level, rate per 100,000 population",560.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2020,"Intentional homicide rates per 100,000",22.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2020,"Percentage of male and female intentional homicide victims, Male",41.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2020,"Percentage of male and female intentional homicide victims, Female",3.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2020,"Assault rate per 100,000 population",217.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2020,"Kidnapping at the national level, rate per 100,000",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
76,Brazil,2020,"Theft at the national level, rate per 100,000 population",632.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
92,British Virgin Islands,2004,"Intentional homicide rates per 100,000",17.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
92,British Virgin Islands,2006,"Intentional homicide rates per 100,000",8.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2000,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2000,"Percentage of male and female intentional homicide victims, Male",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2000,"Percentage of male and female intentional homicide victims, Female",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2005,"Intentional homicide rates per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2005,"Assault rate per 100,000 population",145.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2005,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2005,"Theft at the national level, rate per 100,000 population",329.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2005,"Robbery at the national level, rate per 100,000 population",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2006,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2006,"Assault rate per 100,000 population",121.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2006,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2006,"Theft at the national level, rate per 100,000 population",306.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2006,"Robbery at the national level, rate per 100,000 population",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2010,"Intentional homicide rates per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
96,Brunei Darussalam,2013,"Intentional homicide rates per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2005,"Intentional homicide rates per 100,000",2.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2005,"Percentage of male and female intentional homicide victims, Male",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2005,"Percentage of male and female intentional homicide victims, Female",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2005,"Assault rate per 100,000 population",47.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2005,"Kidnapping at the national level, rate per 100,000",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2005,"Theft at the national level, rate per 100,000 population",560.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2005,"Robbery at the national level, rate per 100,000 population",48.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2005,"Total Sexual Violence at the national level, rate per 100,000",13.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2010,"Intentional homicide rates per 100,000",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2010,"Percentage of male and female intentional homicide victims, Male",3.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2010,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2010,"Assault rate per 100,000 population",40.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2010,"Kidnapping at the national level, rate per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2010,"Theft at the national level, rate per 100,000 population",679.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2010,"Robbery at the national level, rate per 100,000 population",50.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2010,"Total Sexual Violence at the national level, rate per 100,000",9.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2015,"Intentional homicide rates per 100,000",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2015,"Percentage of male and female intentional homicide victims, Male",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2015,"Percentage of male and female intentional homicide victims, Female",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2015,"Assault rate per 100,000 population",35.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2015,"Kidnapping at the national level, rate per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2015,"Theft at the national level, rate per 100,000 population",532.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2015,"Robbery at the national level, rate per 100,000 population",27.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2015,"Total Sexual Violence at the national level, rate per 100,000",8.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2019,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2019,"Percentage of male and female intentional homicide victims, Male",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2019,"Percentage of male and female intentional homicide victims, Female",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2019,"Assault rate per 100,000 population",39.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2019,"Kidnapping at the national level, rate per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2019,"Theft at the national level, rate per 100,000 population",473.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2019,"Robbery at the national level, rate per 100,000 population",16.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2019,"Total Sexual Violence at the national level, rate per 100,000",8.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2020,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2020,"Percentage of male and female intentional homicide victims, Male",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2020,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2020,"Assault rate per 100,000 population",38.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2020,"Kidnapping at the national level, rate per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2020,"Theft at the national level, rate per 100,000 population",389.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
100,Bulgaria,2020,"Total Sexual Violence at the national level, rate per 100,000",8.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
854,Burkina Faso,2005,"Intentional homicide rates per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
854,Burkina Faso,2010,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
854,Burkina Faso,2015,"Intentional homicide rates per 100,000",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
854,Burkina Faso,2017,"Intentional homicide rates per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2010,"Assault rate per 100,000 population",3.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2010,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2010,"Robbery at the national level, rate per 100,000 population",35.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2010,"Total Sexual Violence at the national level, rate per 100,000",8.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2014,"Intentional homicide rates per 100,000",5.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2014,"Percentage of male and female intentional homicide victims, Male",9.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2014,"Percentage of male and female intentional homicide victims, Female",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2014,"Assault rate per 100,000 population",5.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2014,"Kidnapping at the national level, rate per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2014,"Theft at the national level, rate per 100,000 population",8.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2014,"Robbery at the national level, rate per 100,000 population",45.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2014,"Total Sexual Violence at the national level, rate per 100,000",12.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2015,"Intentional homicide rates per 100,000",4.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2015,"Percentage of male and female intentional homicide victims, Male",7.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2015,"Percentage of male and female intentional homicide victims, Female",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2016,"Intentional homicide rates per 100,000",6.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2016,"Percentage of male and female intentional homicide victims, Male",9.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
108,Burundi,2016,"Percentage of male and female intentional homicide victims, Female",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2005,"Intentional homicide rates per 100,000",9.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2006,"Intentional homicide rates per 100,000",7.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2010,"Assault rate per 100,000 population",830.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2010,"Kidnapping at the national level, rate per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2010,"Theft at the national level, rate per 100,000 population",761.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2010,"Robbery at the national level, rate per 100,000 population",624.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2010,"Total Sexual Violence at the national level, rate per 100,000",41.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2015,"Intentional homicide rates per 100,000",8.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2015,"Percentage of male and female intentional homicide victims, Male",14.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2015,"Percentage of male and female intentional homicide victims, Female",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2015,"Assault rate per 100,000 population",801.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2015,"Kidnapping at the national level, rate per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2015,"Theft at the national level, rate per 100,000 population",785.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2015,"Robbery at the national level, rate per 100,000 population",494.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2015,"Total Sexual Violence at the national level, rate per 100,000",41.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2018,"Intentional homicide rates per 100,000",6.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2018,"Percentage of male and female intentional homicide victims, Male",9.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2018,"Percentage of male and female intentional homicide victims, Female",3.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2018,"Assault rate per 100,000 population",554.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2018,"Kidnapping at the national level, rate per 100,000",2.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2018,"Theft at the national level, rate per 100,000 population",630.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2018,"Robbery at the national level, rate per 100,000 population",408.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2018,"Total Sexual Violence at the national level, rate per 100,000",29.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2020,"Intentional homicide rates per 100,000",6.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2020,"Percentage of male and female intentional homicide victims, Male",9.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
132,Cabo Verde,2020,"Percentage of male and female intentional homicide victims, Female",3.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
116,Cambodia,2005,"Intentional homicide rates per 100,000",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
116,Cambodia,2010,"Intentional homicide rates per 100,000",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
116,Cambodia,2011,"Intentional homicide rates per 100,000",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2003,"Intentional homicide rates per 100,000",6.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2003,"Assault rate per 100,000 population",17.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2003,"Theft at the national level, rate per 100,000 population",70.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2005,"Assault rate per 100,000 population",17.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2005,"Theft at the national level, rate per 100,000 population",67.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2010,"Intentional homicide rates per 100,000",4.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2010,"Assault rate per 100,000 population",24.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2010,"Kidnapping at the national level, rate per 100,000",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2010,"Theft at the national level, rate per 100,000 population",80.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2010,"Total Sexual Violence at the national level, rate per 100,000",10.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2014,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2014,"Percentage of male and female intentional homicide victims, Male",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2014,"Percentage of male and female intentional homicide victims, Female",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2014,"Assault rate per 100,000 population",16.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2014,"Kidnapping at the national level, rate per 100,000",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2014,"Theft at the national level, rate per 100,000 population",111.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2014,"Robbery at the national level, rate per 100,000 population",16.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2014,"Total Sexual Violence at the national level, rate per 100,000",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2015,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2015,"Percentage of male and female intentional homicide victims, Male",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2015,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2015,"Assault rate per 100,000 population",20.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2015,"Kidnapping at the national level, rate per 100,000",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2015,"Theft at the national level, rate per 100,000 population",69.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2015,"Robbery at the national level, rate per 100,000 population",20.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2016,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2016,"Percentage of male and female intentional homicide victims, Male",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2016,"Percentage of male and female intentional homicide victims, Female",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2016,"Assault rate per 100,000 population",7.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2016,"Kidnapping at the national level, rate per 100,000",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2016,"Robbery at the national level, rate per 100,000 population",17.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2017,"Intentional homicide rates per 100,000",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2017,"Assault rate per 100,000 population",18.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2017,"Kidnapping at the national level, rate per 100,000",3.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
120,Cameroon,2017,"Robbery at the national level, rate per 100,000 population",18.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
124,Canada,2005,"Intentional homicide rates per 100,000",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
124,Canada,2005,"Percentage of male and female intentional homicide victims, Male",3.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
124,Canada,2005,"Percentage of male and female intentional homicide victims, Female",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
124,Canada,2005,"Assault rate per 100,000 population",166.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
124,Canada,2005,"Kidnapping at the national level, rate per 100,000",12.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
124,Canada,2005,"Theft at the national level, rate per 100,000 population","2,039.2",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
124,Canada,2005,"Robbery at the national level, rate per 100,000 population",100.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2022."
